threshold,min_component_size,fill_hole_area,postprocess,iou_background,iou_foreground,miou,kappa,accuracy,precision,recall
0.45,1536,128,remove_small_components(min_area=1536)+fill_small_holes(max_area=128),0.961023681131037,0.8178480341133704,0.8894358576222037,0.8799234674885676,0.9668286821094875,0.9054871208332671,0.8941799681482199
0.45,1536,256,remove_small_components(min_area=1536)+fill_small_holes(max_area=256),0.961016751489597,0.8178515745954636,0.8894341630425303,0.8799219562762877,0.9668237804929852,0.9053342251646579,0.8943333528062798
0.455,1024,128,remove_small_components(min_area=1024)+fill_small_holes(max_area=128),0.9610426651398091,0.8178193367249731,0.8894310009323911,0.8799161472484244,0.9668414826046291,0.905982896481138,0.8936627555845945
0.455,0,0,none,0.9610029765041586,0.8178521253923774,0.889427550948268,0.8799150391879521,0.9668138225561409,0.9050565990921189,0.8946050971848537
0.46,0,512,fill_small_holes(max_area=512),0.961006230754947,0.8177986372623374,0.8894024340086422,0.8798844561565267,0.9668144044421968,0.9053360202703966,0.8942683005014043
0.455,512,0,remove_small_components(min_area=512),0.9610211690994558,0.8177735880669753,0.8893973785832155,0.8798772017649779,0.9668243943178985,0.9057356182228941,0.8938488281869336
0.45,1536,0,remove_small_components(min_area=1536),0.9610162726902821,0.8177535261277199,0.889384899409001,0.879862510491798,0.9668201823810955,0.9057180468444853,0.8938419730066851
0.46,512,512,remove_small_components(min_area=512)+fill_small_holes(max_area=512),0.961027053067572,0.8177311814567095,0.8893791172621408,0.8798547046908128,0.9668272518475352,0.9060239545693527,0.8935175563952579
0.455,1024,0,remove_small_components(min_area=1024),0.9610347403762142,0.8177222211178731,0.8893784807470436,0.8798533507158153,0.9668325247532532,0.9062142885474274,0.8933218242207505
0.46,0,256,fill_small_holes(max_area=256),0.9610049549834875,0.8177468425665417,0.8893758987750147,0.879852512807322,0.9668117624998467,0.9055182053891897,0.8940287047609712
0.46,0,128,fill_small_holes(max_area=128),0.9610048122046716,0.8177135971523989,0.8893592046785352,0.8798323660359024,0.9668105568079847,0.9056487285803723,0.8938617835188367
0.46,512,256,remove_small_components(min_area=512)+fill_small_holes(max_area=256),0.9610257718784455,0.8176792842682251,0.8893525280733353,0.8798227032286449,0.9668246049147385,0.9062068606058428,0.8932777988629833
0.455,1536,512,remove_small_components(min_area=1536)+fill_small_holes(max_area=512),0.9610149311767358,0.8176881271897494,0.8893515291832426,0.879822323529184,0.9668170433902791,0.9059537848015351,0.8935344007236482
0.46,512,128,remove_small_components(min_area=512)+fill_small_holes(max_area=128),0.9610256207358032,0.8176459613729459,0.8893357910543745,0.8798025100781018,0.9668233922362515,0.9063378369632369,0.8931108117056541
0.455,1536,256,remove_small_components(min_area=1536)+fill_small_holes(max_area=256),0.9610130019563503,0.8176310662584222,0.8893220341073862,0.8797868611409227,0.9668137556841584,0.9061443565549282,0.8932809867614905
0.455,1536,128,remove_small_components(min_area=1536)+fill_small_holes(max_area=128),0.9610155128999001,0.8176095159843253,0.8893125144421127,0.8797751776043169,0.9668148615670915,0.9062813944187346,0.8931221371345611
0.46,1024,512,remove_small_components(min_area=1024)+fill_small_holes(max_area=512),0.9610226894972023,0.817600578687368,0.8893116340922851,0.8797735709505735,0.9668197661778616,0.9064615111682842,0.8929366218152317
0.46,0,0,none,0.9609964095230383,0.8176137322957139,0.8893050709093762,0.8797676462927418,0.9668011597973212,0.9058812108721184,0.8935161601915884
0.46,1024,256,remove_small_components(min_area=1024)+fill_small_holes(max_area=256),0.9610214086583915,0.81754862924774,0.8892850189530657,0.8797415399576116,0.9668171192450651,0.9066448307205801,0.8926968642829571
0.465,0,512,fill_small_holes(max_area=512),0.9610017032403054,0.8175657629793499,0.8892837331098277,0.8797414797224975,0.9668034064963125,0.906180050751048,0.893168361662915
0.46,512,0,remove_small_components(min_area=512),0.9610169986629185,0.8175453745770144,0.8892811866199664,0.8797372465810663,0.9668138155695158,0.9065692576189677,0.8927662609983922
0.46,1024,128,remove_small_components(min_area=1024)+fill_small_holes(max_area=128),0.9610214075238261,0.8175160008712692,0.8892687041975477,0.8797218467936547,0.9668160393124535,0.9067761765528577,0.8925306741002548
0.455,1536,0,remove_small_components(min_area=1536),0.9610079398021074,0.8175142595054627,0.8892610996537851,0.8797136823521543,0.9668062211081098,0.9065123700180543,0.8927843277540296
0.465,0,256,fill_small_holes(max_area=256),0.9610007326438795,0.8175166694420245,0.889258701042952,0.8797113320363013,0.9668010779539994,0.9063578971646619,0.8929370832215946
0.465,512,512,remove_small_components(min_area=512)+fill_small_holes(max_area=512),0.9610197776627338,0.8174841717945621,0.889251974728648,0.8797017758636053,0.966813805588623,0.9068715654446087,0.8924003477757579
0.465,0,128,fill_small_holes(max_area=128),0.9610002096275229,0.8174828225021962,0.8892415160648595,0.8796906247537022,0.9667995788238861,0.906483495002585,0.8927748419582836
0.465,512,256,remove_small_components(min_area=512)+fill_small_holes(max_area=256),0.9610187748496388,0.8174348709288685,0.8892268228892537,0.879671492144456,0.9668114490998096,0.9070500003963002,0.8921689015503056
0.46,1536,512,remove_small_components(min_area=1536)+fill_small_holes(max_area=512),0.9610062927264182,0.8174331781652164,0.8892197354458173,0.8796638729035579,0.9668023455273974,0.9068055562828524,0.8924034997205226
0.46,1024,0,remove_small_components(min_area=1024),0.9610128168525744,0.8174156660443737,0.889214241448474,0.8796567518869067,0.9668064955826644,0.9070073962839992,0.8921872439513027
0.465,512,128,remove_small_components(min_area=512)+fill_small_holes(max_area=128),0.961018257246222,0.8174010081848688,0.8892096327155454,0.8796507825289709,0.9668099549601429,0.9071760570978283,0.8920066542947042
0.46,1536,256,remove_small_components(min_area=1536)+fill_small_holes(max_area=256),0.9610050127902787,0.8173811739955509,0.8891930933929149,0.879631809024858,0.9667996985946008,0.9069892172127649,0.892163742188248
0.465,1024,512,remove_small_components(min_area=1024)+fill_small_holes(max_area=512),0.9610150949651943,0.8173570131488167,0.8891860540570056,0.8796225596912093,0.9668062091310382,0.9072896969829827,0.8918444310082645
0.465,0,0,none,0.9609898707344942,0.8173744006780099,0.889182135706252,0.8796197178460308,0.96678849903468,0.9067118515360623,0.8924242030839479
0.46,1536,128,remove_small_components(min_area=1536)+fill_small_holes(max_area=128),0.9610047777379167,0.8173476107211276,0.8891761942295222,0.8796114281284273,0.9667984190441313,0.9071197000563757,0.8919975520055456
0.47,0,512,fill_small_holes(max_area=512),0.9609999495865525,0.8173416519502725,0.8891708007684125,0.8796052786153615,0.9667947221214019,0.907046476314011,0.8920612680296559
0.465,1024,256,remove_small_components(min_area=1024)+fill_small_holes(max_area=256),0.9610140924731528,0.8173076638924753,0.8891608781828141,0.8795922486410589,0.966803852642225,0.9074685165409322,0.8916129847828121
0.465,512,0,remove_small_components(min_area=512),0.9610076742268485,0.8172917137547863,0.8891496939908174,0.8795792264683238,0.9667986725588109,0.9074034036571436,0.891656866325609
0.47,0,256,fill_small_holes(max_area=256),0.9609983451434452,0.8172907324413153,0.8891445387923802,0.8795736981564021,0.9667918765688367,0.9072193204705824,0.8918335190473969
0.465,1024,128,remove_small_components(min_area=1024)+fill_small_holes(max_area=128),0.9610135750746233,0.8172737674304117,0.8891436712525175,0.8795715200532715,0.9668023585025581,0.907594844524844,0.8914507375272107
